City_final,Latitude,Longitude
Friedenweiler,47.917078,8.2571947
Witzeeze,53.4515894,10.6090961
Neuss,51.1981778,6.6916476
Pforzheim,48.890934,8.7025509
Königswinter,50.6739719,7.1930989
Northeim,51.7643824,9.8583289
Rohrdorf,47.7990707,12.1675812
Filderstadt,48.6664,9.2199647
Übelbach,47.226439,15.2341951
Fürth,49.4885711,10.9587203
Kerpen,50.3097609,6.7293316
Markdorf,47.7206084,9.3917257
Piątek,52.0689883,19.4799726
Hannover,52.3744779,9.7385532
Mülheim,51.4272925,6.8829192
Erkner,52.4259804,13.7542811
Mons,50.4549568,3.951958
Bad Segeberg,53.9422672,10.3137943
Lauf an der Pegnitz,49.5118126,11.2813381
Oberasbach,49.4303112,10.967555
Naumburg,51.1525648,11.8099186
Wandlitz,52.7537935,13.4519809
Obernheim,48.1628786,8.8605489
Wilhelmshaven,53.5278793,8.106301
Heimbuchenthal,49.8835255,9.291592
Weiterstadt,49.9178,8.5924
New Braunfels,29.7028266,-98.1257348
Salzwedel,52.8528456,11.1539699
Rechytsa,52.3717518,30.3860239
Freiburg,47.9960901,7.8494005
Regensburg,49.0195333,12.0974869
Leer,53.2050928,7.459464
Höhenkirchen-Siegertsbrunn,48.0197943,11.7205798
Coburg,50.2582226,10.964561
Wolfenbüttel,52.1625283,10.5348215
Niederorschel,51.370347,10.4279187
Verden,49.1589278,5.3867277
Severn,39.1354665,-76.7006238
Bad Pyrmont,51.9850503,9.2434635
Stellenbosch,-33.934444,18.869167
Wadgassen,49.2634657,6.7922183
Weingarten,47.8075299,9.6431145
Obermarchtal,48.2327187,9.5692149
Linz,48.3059078,14.286198
Sankt Ingbert,49.2788378,7.1156707
Staufen im Breisgau,47.883211,7.7329262
Baku,40.3755885,49.8328009
Erlensee,50.1624394,8.9846455
Erkrath,51.2209866,6.9056079
Kornwestheim,48.8611498,9.1873875
Gummersbach,51.0277658,7.5630545
Wiesbaden,50.0820384,8.2416556
Leutershausen,49.2992825,10.4117748
Rees,51.7581242,6.3956605
Schwerin,53.6288297,11.4148038
Słupsk,54.4649331,17.028073
Reutlingen,48.4919508,9.2114144
Hamm,51.681281,7.8191185
Köln,50.938361,6.959974
Gdańsk,54.3482907,18.6540233
Allen,40.8077797,-84.0572225
Gladenbach,50.78141,8.57886
Euskirchen,50.6612623,6.7871219
Gerlingen,48.7983947,9.0624386
Lübeck,53.866444,10.684738
Büren,51.5525333,8.5591919
Ganderkesee,53.0344984,8.5451469
Ohrdruf,50.8270085,10.7319499
Beverungen,51.6676535,9.3759072
Oldenburg,53.1389753,8.2146017
Bietigheim-Bissingen,48.9493243,9.1364229
Geilenkirchen,50.963605,6.1199802
Leichlingen,51.1059639,7.0140304
Veldenz,49.8893712,7.0231881
Dushanbe,38.5856814,68.760331
Al Ain City,24.2248697,55.7452211
Werder,52.3715809,12.9329125
Mosbach,49.3521085,9.1460205
Herdecke,51.4001119,7.4330062
Gießen,50.5808795,8.6938161
Seevetal,53.3965903,10.0176952
Korschenbroich,51.1902651,6.5143539
Stendal,52.6050782,11.8594279
Teublitz,49.2211907,12.085254
Meerbusch,51.2652237,6.6760958
Günzburg,48.4555244,10.2766213
Eggolsheim,49.7721617,11.0535303
Limbach-Oberfrohna,50.8608138,12.7545462
Kraichtal,49.1319246,8.7375729
Rathenow,52.6063703,12.3382259
Śrem,52.0893322,17.0156809
Babenhausen,49.9562183,8.9460279
Heidenheim an der Brenz,48.6767637,10.152923
Rotterdam,51.9244424,4.47775
